"no.","name","census 2001","census 2006","calculation 2010","annualgrowth","latitude","longitude","parent division","name variants","metropolitan area"
674,"Saint-Éphrem-de-Tring","1 404","1 494","1 564",1.15,"46.07°N","70.96°W","Quebec"," "," "
675,"Sainte-Thècle","1 318","1 296","1 275",-0.41,"46.80°N","72.50°W","Quebec"," "," "
676,"Saint-Fabien","1 185","1 157","1 132",-0.54,"48.28°N","68.87°W","Quebec"," "," "
677,"Saint-Félicien","7 717","7 398","7 138",-0.89,"48.65°N","72.45°W","Quebec"," "," "
678,"Saint-Félix-de-Valois","2 812","2 451","2 244",-2.18,"46.17°N","73.42°W","Quebec"," "," "
679,"Saint-Gabriel","2 859","2 922","2 963",0.35,"46.28°N","73.37°W","Quebec"," "," "
680,"Saint-Gédéon","1 829","1 790","1 755",-0.49,"48.48°N","71.78°W","Quebec"," "," "
681,"Saint George","2 510","2 955","3 347",3.16,"43.24°N","80.25°W","Ontario"," "," "
682,"Saint-Georges","22 508","23 955","25 171",1.25,"46.13°N","70.68°W","Quebec"," "," "
683,"Saint-Germain-de-Grantham","2 110","2 435","2 715",2.76,"45.83°N","72.57°W","Quebec"," "," "
684,"Saint-Grégoire","1 217","1 098","1 010",-2.07,"46.27°N","72.52°W","Quebec","Saint Grégoire","Trois-Rivières"
685,"Saint-Henri-de-Lévis","1 358","1 493","1 603",1.79,"46.68°N","71.07°W","Quebec"," ","Québec"
686,"Saint-Honoré","1 714","1 639","1 578",-0.94,"47.72°N","69.13°W","Quebec"," "," "
687,"Saint-Hyacinthe","45 749","47 306","49 026",0.9,"45.63°N","72.96°W","Quebec"," ","Montréal"
688,"Saint Jacobs","1 227","1 477","1 702",3.61,"43.56°N","80.55°W","Ontario"," ","Kitchener"
689,"Saint-Jacques","2 230","2 292","2 335",0.47,"45.95°N","73.58°W","Quebec"," "," "
690,"Saint-Jean-de-Dieu","1 142","1 051",982,-1.68,"48.02°N","69.05°W","Quebec"," "," "
691,"Saint-Jean-Port-Joli","1 898","1 932","1 953",0.27,"47.20°N","70.27°W","Quebec"," "," "
692,"Saint-Jean-sur-Richelieu","70 550","78 519","85 101",2.03,"45.31°N","73.26°W","Quebec"," ","Montréal"
693,"Saint-Jérôme","54 337","57 920","60 699",1.18,"45.78°N","74.00°W","Quebec"," ","Montréal"
694,"Saint John","90 876","90 016","89 036",-0.27,"45.29°N","66.06°W","New Brunswick"," ","Saint John"
695,"Saint John's","147 378","151 322","153 820",0.41,"47.58°N","52.69°W","Newfoundland and Labrador"," ","Saint John's"
696,"Saint-Josephe-de-Beauce","3 333","3 342","3 339",-0.02,"46.30°N","70.87°W","Quebec","Saint-Joseph-de-Beauce"," "
697,"Saint-Josephe-de-Lanoraie","1 989","2 064","2 118",0.65,"45.97°N","73.23°W","Quebec","Saint-Joseph-de-Lanoraie"," "
698,"Saint-Jovite","4 263","4 422","4 537",0.64,"46.12°N","74.58°W","Quebec"," "," "
699,"Saint Leonard","1 395","1 362","1 332",-0.56,"47.17°N","67.92°W","New Brunswick"," "," "
700,"Saint-Liboire","1 382","1 436","1 475",0.67,"45.72°N","72.70°W","Quebec"," "," "
701,"Saint-Marc-des-Carrières","2 320","2 201","2 106",-1.1,"46.68°N","72.03°W","Quebec"," "," "
702,"Saint-Martin","1 668","1 644","1 621",-0.35,"45.95°N","70.65°W","Quebec"," "," "
703,"Saint Marys","6 293","6 617","6 863",0.92,"43.25°N","81.13°W","Ontario"," "," "
704,"Saint-Michel-des-Saints","1 567","1 482","1 415",-1.15,"46.67°N","73.92°W","Quebec"," "," "
705,"Saint-Pacôme","1 159","1 133","1 110",-0.51,"47.42°N","69.95°W","Quebec"," "," "
706,"Saint-Pascal","2 425","2 413","2 397",-0.17,"47.52°N","69.82°W","Quebec"," "," "
707,"Saint Paul","5 061","5 106","5 132",0.13,"53.98°N","111.28°W","Alberta"," "," "
708,"Saint-Pie","2 693","2 903","3 069",1.4,"45.50°N","72.90°W","Quebec"," "," "
709,"Saint-Prosper","2 428","2 339","2 265",-0.8,"46.20°N","70.48°W","Quebec"," "," "
710,"Saint Quentin","2 280","2 250","2 219",-0.35,"47.50°N","67.38°W","New Brunswick","Saint-Quentin"," "
711,"Saint-Raphaël","1 255","1 298","1 329",0.59,"46.78°N","70.75°W","Quebec"," "," "
712,"Saint-Raymond","3 512","3 445","3 384",-0.45,"46.88°N","71.83°W","Quebec"," "," "
713,"Saint-Rémi","3 847","4 019","4 146",0.78,"45.25°N","73.60°W","Quebec"," ","Montréal"
714,"Saint-Roch-de-l'Achigan","1 021","1 230","1 418",3.62,"45.87°N","73.61°W","Quebec"," "," "
715,"Saint-Sauveur-des-Monts","5 197","5 598","5 915",1.39,"45.90°N","74.17°W","Quebec"," "," "
716,"Saint Stephen","4 667","4 780","4 853",0.38,"45.20°N","67.27°W","New Brunswick"," "," "
717,"Saint Thomas","36 189","39 496","42 211",1.68,"42.78°N","81.19°W","Ontario"," "," "
718,"Saint-Tite","2 416","2 306","2 217",-0.98,"46.72°N","72.57°W","Quebec"," "," "
719,"Salaberry-de-Valleyfield","38 197","38 936","39 406",0.3,"45.26°N","74.14°W","Quebec","Valleyfield"," "
720,"Salisbury","1 954","2 036","2 095",0.72,"46.03°N","65.05°W","New Brunswick"," "," "
721,"Salmo","1 120","1 007",944,-1.6,"49.20°N","117.28°W","British Columbia"," "," "
722,"Salmon Arm","10 067","10 791","11 362",1.3,"50.70°N","119.29°W","British Columbia"," "," "
723,"Sarnia","78 577","78 827","78 808",-0.01,"42.99°N","82.40°W","Ontario"," ","Sarnia"
724,"Saskatoon","196 811","202 425","205 697",0.4,"52.15°N","106.66°W","Saskatchewan"," ","Saskatoon"
725,"Sault Sainte Marie","67 679","68 084","67 670",-0.15,"46.53°N","84.35°W","Ontario"," ","Sault Sainte Marie"
726,"Sayabec","1 347","1 305","1 269",-0.7,"48.55°N","67.68°W","Quebec"," "," "
727,"Schomberg","1 216","1 679","2 115",5.94,"44.03°N","79.64°W","Ontario"," "," "
728,"Seaforth","2 692","2 634","2 583",-0.49,"43.55°N","81.38°W","Ontario"," "," "
729,"Sechelt","5 951","6 592","7 121",1.95,"49.47°N","123.77°W","British Columbia"," "," "
730,"Selkirk","9 772","9 553","9 364",-0.5,"50.14°N","96.89°W","Manitoba"," "," "
731,"Senneterre","3 176","2 872","2 648",-2.01,"48.40°N","77.25°W","Quebec"," "," "
732,"Sept-Îles","23 093","22 837","22 341",-0.55,"50.22°N","66.38°W","Quebec"," "," "
733,"Sexsmith","1 653","1 959","2 232",3.32,"55.35°N","118.78°W","Alberta"," "," "
734,"Shaunavon","1 775","1 691","1 622",-1.04,"49.65°N","108.42°W","Saskatchewan"," "," "
735,"Shawinigan","49 778","49 236","48 674",-0.29,"46.56°N","72.75°W","Quebec"," ","Shawinigan"
736,"Shawnigan","3 398","3 565","3 691",0.87,"","","British Columbia"," "," "
737,"Shawville","1 582","1 587","1 586",-0.02,"45.60°N","76.48°W","Quebec"," "," "
738,"Shediac","4 892","5 555","6 112",2.42,"46.22°N","64.53°W","New Brunswick"," "," "
739,"Shelburne","4 213","5 149","6 005",3.92,"44.07°N","80.20°W","Ontario"," "," "
740,"Shelburne","2 013","1 879","1 775",-1.41,"43.77°N","65.32°W","Nova Scotia"," "," "
741,"Shellbrook","1 276","1 215","1 165",-1.05,"53.22°N","106.40°W","Saskatchewan"," "," "
742,"Sherbrooke","127 573","134 610","139 953",0.98,"45.40°N","71.90°W","Quebec"," ","Sherbrooke"
743,"Shilo","1 179","1 314","1 426",2.07,"49.73°N","99.97°W","Manitoba"," "," "
744,"Shippagan","2 920","2 754","2 622",-1.22,"47.73°N","64.70°W","New Brunswick","Shippegan, Shippigan"," "
745,"Sicamous","2 720","2 676","2 635",-0.39,"50.83°N","119.00°W","British Columbia"," "," "
746,"Simcoe","14 175","14 522","14 514",-0.01,"42.84°N","80.31°W","Ontario"," ","Norfolk"
747,"Sioux Lookout","3 531","3 071","2 821",-2.1,"50.10°N","91.92°W","Ontario"," "," "
748,"Slave Lake","6 859","6 703","6 572",-0.49,"55.28°N","114.78°W","Alberta"," "," "
749,"Smithers","5 414","5 247","5 107",-0.67,"54.77°N","127.17°W","British Columbia"," "," "
750,"Smiths Falls","9 977","9 533","9 312",-0.58,"44.91°N","76.02°W","Ontario"," "," "
751,"Smithville","3 317","3 769","4 153",2.46,"43.10°N","79.53°W","Ontario"," "," "
752,"Smoky Lake","1 011","1 010","1 007",-0.07,"54.11°N","112.47°W","Alberta"," "," "
753,"Sooke","6 290","6 601","6 836",0.88,"48.38°N","123.73°W","British Columbia"," "," "
754,"Sorel","36 786","36 594","36 334",-0.18,"46.05°N","73.14°W","Quebec","Sorel-Tracy"," "
755,"Souris","1 716","1 772","1 811",0.55,"49.62°N","100.25°W","Manitoba"," "," "
756,"Souris","1 248","1 232","1 216",-0.33,"46.35°N","62.25°W","Prince Edward Island"," "," "
757,"Southampton","3 360","3 390","3 404",0.1,"44.50°N","81.37°W","Ontario"," "," "
758,"South River","1 129","1 149","1 162",0.28,"45.85°N","79.37°W","Ontario"," "," "
759,"Sparwood","3 513","3 358","3 234",-0.94,"49.77°N","114.87°W","British Columbia"," "," "
760,"Spirit River","1 100","1 148","1 185",0.8,"55.78°N","118.83°W","Alberta"," "," "
761,"Springdale","3 045","2 764","2 553",-1.97,"49.48°N","56.10°W","Newfoundland and Labrador"," "," "
762,"Springhill","4 091","3 941","3 815",-0.81,"45.63°N","64.05°W","Nova Scotia"," "," "
763,"Spruce Grove","17 290","20 169","22 702",3,"53.53°N","113.92°W","Alberta"," "," "
764,"Squamish","12 391","13 114","13 671",1.05,"49.70°N","123.16°W","British Columbia"," "," "
765,"Stanley 157","1 433","1 550","1 642",1.45,"","","Saskatchewan"," "," "
766,"Stayner","3 885","3 913","3 924",0.07,"44.42°N","80.08°W","Ontario"," "," "
767,"Steinbach","9 227","11 066","12 711",3.53,"49.52°N","96.68°W","Manitoba"," "," "
768,"Stephenville","6 878","6 294","5 851",-1.81,"48.56°N","58.57°W","Newfoundland and Labrador"," "," "
769,"Stephenville Crossing","1 296","1 209","1 141",-1.44,"48.52°N","58.42°W","Newfoundland and Labrador"," "," "
770,"Stettler","5 225","5 435","5 595",0.73,"52.33°N","112.68°W","Alberta"," "," "
771,"Stirling","2 149","2 139","2 126",-0.15,"44.30°N","77.55°W","Ontario"," "," "
772,"Stonewall","4 012","4 376","4 669",1.63,"50.13°N","97.32°W","Manitoba"," "," "
773,"Stoney Point","1 316","1 429","1 520",1.56,"","","Ontario"," "," "
774,"Stony Mountain","1 700","1 757","1 797",0.56,"50.07°N","97.22°W","Manitoba"," "," "
775,"Stony Plain","9 109","11 355","13 460",4.34,"53.53°N","114.00°W","Alberta"," "," "
776,"Stratford","29 780","30 461","30 902",0.36,"43.37°N","80.98°W","Ontario"," "," "
777,"Strathmore","7 621","10 225","12 916",6.01,"51.04°N","113.40°W","Alberta"," "," "
778,"Strathroy","12 860","13 541","14 059",0.94,"42.95°N","81.62°W","Ontario"," "," "
779,"Sturgeon Falls","5 988","6 383","6 691",1.19,"46.37°N","79.93°W","Ontario"," "," "
780,"Sudbury","104 235","106 612","108 209",0.37,"46.49°N","81.01°W","Ontario"," ","Sudbury"
781,"Summerland","6 264","6 299","6 310",0.04,"49.61°N","119.69°W","British Columbia"," "," "
782,"Summerside","14 654","14 517","14 411",-0.18,"46.40°N","63.80°W","Prince Edward Island"," "," "
783,"Sundre","2 277","2 535","2 751",2.07,"51.80°N","114.65°W","Alberta"," "," "
784,"Sussex","5 503","5 654","5 754",0.44,"45.72°N","65.52°W","New Brunswick"," "," "
785,"Sutton","6 340","6 022","5 770",-1.06,"44.30°N","79.37°W","Ontario"," "," "
786,"Swan Hills","1 807","1 645","1 572",-1.13,"54.71°N","115.43°W","Alberta"," "," "
787,"Swan River","4 032","3 859","3 718",-0.93,"52.10°N","101.27°W","Manitoba"," "," "
788,"Swift Current","14 821","14 946","14 948",0,"50.30°N","107.80°W","Saskatchewan"," "," "
789,"Sydney","33 913","33 012","32 215",-0.61,"46.15°N","60.17°W","Nova Scotia","Cape Breton-Sydney, Cape Breton, Ceap Breatuinn, Glace Bay, Glasbaidh, Cape Breton - Sydney","Cape Breton"
790,"Sydney Mines","16 068","15 500","15 019",-0.79,"46.26°N","60.25°W","Nova Scotia"," ","Cape Breton"
791,"Sylvan Lake","7 894","10 661","13 602",6.28,"52.31°N","114.10°W","Alberta"," "," "
792,"Taber","7 764","7 677","7 597",-0.26,"49.78°N","112.15°W","Alberta"," "," "
793,"Tavistock","2 513","2 659","2 771",1.04,"43.32°N","80.83°W","Ontario"," "," "
794,"Teeswater","1 109","1 071","1 039",-0.76,"43.98°N","81.28°W","Ontario"," "," "
795,"Témiscaming","1 824","1 648","1 518",-2.03,"46.72°N","79.08°W","Quebec"," "," "
796,"Terrace","16 659","15 415","15 223",-0.31,"54.52°N","128.61°W","British Columbia"," "," "
797,"Terrace Bay","1 950","1 620","1 442",-2.87,"48.78°N","87.10°W","Ontario"," "," "
798,"Thamesford","1 748","1 904","2 030",1.61,"43.07°N","80.99°W","Ontario"," "," "
799,"The Pas","6 030","5 765","5 581",-0.81,"53.82°N","101.26°W","Manitoba"," "," "
800,"Thessalon","1 386","1 312","1 254",-1.12,"46.25°N","83.55°W","Ontario"," "," "
801,"Thetford Mines","21 635","20 989","20 439",-0.66,"46.10°N","71.31°W","Quebec"," "," "
802,"Thompson","13 256","13 446","13 354",-0.17,"55.74°N","97.86°W","Manitoba"," "," "
803,"Thornbury","2 029","2 217","2 369",1.67,"44.55°N","80.45°W","Ontario"," "," "
804,"Three Hills","2 955","3 160","3 324",1.27,"51.70°N","113.27°W","Alberta"," "," "
805,"Thunder Bay","103 215","103 247","102 006",-0.3,"48.42°N","89.28°W","Ontario","Port Arthur, Fort Williams","Thunder Bay"
806,"Thurso","2 446","2 299","2 184",-1.27,"45.58°N","75.23°W","Quebec"," "," "
807,"Tilbury","4 599","4 809","4 966",0.81,"42.25°N","82.43°W","Ontario"," "," "
808,"Tillsonburg","14 052","14 822","15 410",0.98,"","","Ontario"," "," "
809,"Timmins","31 188","30 243","29 447",-0.66,"48.49°N","81.35°W","Ontario"," "," "
810,"Tisdale","3 063","2 981","2 908",-0.62,"52.82°N","104.05°W","Saskatchewan"," "," "
811,"Tofield","1 818","1 876","1 919",0.57,"53.37°N","112.67°W","Alberta"," "," "
812,"Toronto","4 375 899","4 753 120","5 052 522",1.54,"43.65°N","79.38°W","Ontario"," ","Toronto"
813,"Tottenham","4 829","4 839","4 834",-0.03,"44.02°N","79.80°W","Ontario"," "," "
814,"Tracadie-Sheila","2 510","2 365","2 250",-1.24,"47.50°N","64.92°W","New Brunswick"," "," "
815,"Trail","9 119","8 735","8 594",-0.41,"49.10°N","117.73°W","British Columbia"," "," "
816,"Trois-Pistoles","3 640","3 505","3 393",-0.81,"48.12°N","69.17°W","Quebec"," "," "
817,"Trois-Rivières","117 768","121 666","124 428",0.56,"46.35°N","72.57°W","Quebec"," ","Trois-Rivières"
818,"Truro","21 710","22 376","22 831",0.5,"45.36°N","63.28°W","Nova Scotia"," "," "
819,"Tuktoyaktuk"," "," ",988,,"69.42°N","133.01°W","Northwest Territories"," "," "
820,"Tumbler Ridge","1 836","2 444","3 047",5.67,"55.13°N","121.00°W","British Columbia"," "," "
821,"Tununirusiq"," "," ",962,,"73.04°N","85.20°W","Nunavut","Arctic Bay"," "
822,"Tweed","1 539","1 595","1 636",0.64,"44.47°N","77.30°W","Ontario"," "," "
823,"Two Hills","1 091","1 047","1 012",-0.85,"53.72°N","111.75°W","Alberta"," "," "
824,"Ucluelet","1 559","1 487","1 429",-0.99,"48.93°N","125.52°W","British Columbia"," "," "
825,"Unity","2 243","2 147","2 067",-0.94,"52.43°N","109.17°W","Saskatchewan"," "," "
826,"Uxbridge","8 540","10 175","11 633",3.4,"44.10°N","79.12°W","Ontario"," ","Toronto"
827,"Valcourt","2 411","2 349","2 295",-0.58,"45.48°N","72.32°W","Quebec"," "," "
828,"Val-David","1 724","1 975","2 189",2.61,"46.03°N","74.20°W","Quebec"," "," "
829,"Val-d'Or","24 882","24 529","24 282",-0.25,"48.11°N","77.79°W","Quebec"," "," "
830,"Vallée-Jonction","1 196","1 228","1 250",0.44,"46.37°N","70.92°W","Quebec"," "," "
831,"Valley East","19 595","19 655","19 214",-0.57,"46.64°N","81.01°W","Ontario"," "," "
832,"Valleyview","1 856","1 725","1 671",-0.79,"55.07°N","117.28°W","Alberta"," "," "
833,"Vancouver","1 834 849","1 953 252","2 044 298",1.15,"49.28°N","123.13°W","British Columbia"," ","Vancouver"
834,"Vanderhoof","1 456","1 213","1 080",-2.86,"54.02°N","124.02°W","British Columbia"," "," "
835,"Vankleek Hill","2 022","1 877","1 766",-1.51,"45.52°N","74.65°W","Ontario"," "," "
836,"Vegreville","5 400","5 519","5 604",0.38,"53.50°N","112.05°W","Alberta"," "," "
837,"Vermilion","3 948","4 036","4 099",0.39,"53.35°N","110.85°W","Alberta"," "," "
838,"Vernon","40 124","42 812","45 893",1.75,"50.27°N","119.28°W","British Columbia"," ","Vernon"
839,"Victoria","288 697","304 683","316 911",0.99,"48.43°N","123.37°W","British Columbia"," ","Victoria"
840,"Victoriaville","36 083","37 981","38 844",0.56,"46.06°N","71.96°W","Quebec","Athabasca"," "
841,"Viking","1 052","1 085","1 110",0.57,"53.08°N","111.78°W","Alberta"," "," "
842,"Ville-Marie","2 790","2 701","2 626",-0.7,"47.33°N","79.43°W","Quebec"," "," "
843,"Vineland","2 443","2 817","3 139",2.74,"43.16°N","79.49°W","Ontario"," "," "
844,"Virden","3 109","3 010","2 926",-0.71,"49.85°N","100.93°W","Manitoba"," "," "
845,"Virgil","1 129","1 875","2 579",8.3,"","","Ontario"," "," "
846,"Vulcan","1 762","1 940","2 088",1.85,"50.40°N","113.25°W","Alberta"," "," "
847,"Wabana","2 679","2 418","2 202",-2.31,"47.64°N","52.98°W","Newfoundland and Labrador"," "," "
848,"Wadena","1 412","1 315","1 239",-1.48,"51.95°N","103.80°W","Saskatchewan"," "," "
849,"Wainwright","5 117","5 426","5 670",1.11,"52.83°N","110.87°W","Alberta"," "," "
850,"Walkerton","4 970","4 905","4 842",-0.32,"44.13°N","81.15°W","Ontario"," "," "
851,"Wallaceburg","11 114","10 703","10 336",-0.87,"42.59°N","82.39°W","Ontario"," "," "
852,"Walnut Grove","24 548","25 683","26 535",0.82,"49.19°N","122.62°W","British Columbia"," ","Vancouver"
853,"Warman","3 481","4 764","5 878",5.39,"52.32°N","106.57°W","Saskatchewan"," "," "
854,"Warwick","3 286","3 352","3 394",0.31,"45.95°N","71.98°W","Quebec"," "," "
855,"Wasaga Beach","7 705","9 460","11 072",4.01,"44.53°N","79.99°W","Ontario"," "," "
856,"Waskaganish",484,"1 599","2 101",7.06,"","","Quebec"," "," "
857,"Waterford","2 871","2 931","2 971",0.34,"42.93°N","80.28°W","Ontario"," "," "
858,"Waterloo","4 042","4 112","4 155",0.26,"45.35°N","72.52°W","Quebec"," "," "
859,"Watford","1 625","1 641","1 649",0.12,"42.95°N","81.88°W","Ontario"," "," "
860,"Watrous","1 808","1 743","1 688",-0.8,"51.67°N","105.47°W","Saskatchewan"," "," "
861,"Wawa","3 279","2 968","2 801",-1.44,"48.00°N","84.78°W","Ontario"," "," "
862,"Weedon Centre","1 186","1 182","1 175",-0.15,"45.70°N","71.45°W","Quebec"," "," "
863,"Wellesley","1 666","2 090","2 488",4.45,"43.47°N","80.76°W","Ontario"," "," "
864,"Wellington","1 743","1 807","1 854",0.64,"43.95°N","77.35°W","Ontario"," "," "
865,"Wembley","1 497","1 443","1 400",-0.75,"55.15°N","119.15°W","Alberta"," "," "
866,"Westlock","4 819","5 008","5 151",0.71,"54.15°N","113.87°W","Alberta"," "," "
867,"West Lorne","1 458","1 403","1 358",-0.81,"42.60°N","81.60°W","Ontario"," "," "
868,"Wetaskiwin","11 154","11 673","11 997",0.69,"52.97°N","113.38°W","Alberta"," "," "
869,"Weyburn","9 534","9 433","9 304",-0.34,"49.67°N","103.86°W","Saskatchewan"," "," "
870,"Wheatley","2 090","2 248","2 373",1.36,"42.10°N","82.45°W","Ontario"," "," "
871,"Whistler","8 178","8 054","8 204",0.46,"50.13°N","122.97°W","British Columbia"," "," "
872,"Whitchurch-Stouffville","11 073","11 863","12 484",1.28,"43.97°N","79.25°W","Ontario","Stouffville","Toronto"
873,"White City","2 188","1 508","1 261",-4.37,"50.44°N","104.35°W","Saskatchewan"," "," "
874,"Whitecourt","8 334","8 971","9 485",1.4,"54.13°N","115.68°W","Alberta"," "," "
875,"Whitehorse","16 843","18 122","19 123",1.35,"60.73°N","135.05°W","Yukon"," "," "
876,"White Rock","66 391","73 006","78 412",1.8,"49.03°N","122.83°W","British Columbia"," ","Vancouver"
877,"Wiarton","2 349","2 322","2 295",-0.29,"44.73°N","81.13°W","Ontario"," "," "
878,"Wikwemikong","1 352","1 314","1 282",-0.61,"45.80°N","81.71°W","Ontario"," "," "
879,"Wilkie","1 282","1 222","1 173",-1.02,"52.42°N","108.70°W","Saskatchewan"," "," "
880,"Williams Lake","12 997","12 475","12 396",-0.16,"52.13°N","122.14°W","British Columbia"," "," "
881,"Winchester","2 427","2 240","2 099",-1.61,"45.10°N","75.35°W","Ontario"," "," "
882,"Windsor","265 540","278 765","288 743",0.88,"42.30°N","83.03°W","Ontario"," ","Detroit-Windsor"
883,"Windsor","5 321","5 249","5 178",-0.34,"45.58°N","72.00°W","Quebec"," "," "
884,"Windsor","4 012","3 986","3 952",-0.21,"44.98°N","64.13°W","Nova Scotia"," "," "
885,"Wingham","2 885","2 923","2 945",0.19,"43.88°N","81.30°W","Ontario"," "," "
886,"Winkler","7 943","9 106","10 099",2.62,"49.18°N","97.93°W","Manitoba"," "," "
887,"Winnipeg","626 956","641 483","649 227",0.3,"49.88°N","97.17°W","Manitoba"," ","Winnipeg"
888,"Wolfville","3 658","3 772","3 850",0.51,"45.08°N","64.37°W","Nova Scotia"," "," "
889,"Wood Buffalo","38 667","47 705","54 771",3.51,"56.74°N","111.43°W","Alberta","Fort MacMurray, Fort McMurray"," "
890,"Woodstock","33 061","35 357","36 927",1.09,"43.13°N","80.76°W","Ontario"," "," "
891,"Woodstock","5 231","5 146","5 063",-0.41,"46.15°N","67.57°W","New Brunswick"," "," "
892,"Wynyard","1 919","1 744","1 613",-1.93,"51.77°N","104.18°W","Saskatchewan"," "," "
893,"Wyoming","2 200","2 080","1 986",-1.15,"42.95°N","82.12°W","Ontario"," "," "
894,"Yamachiche","1 235","1 311","1 369",1.09,"46.28°N","72.83°W","Quebec"," "," "
895,"Yarmouth","7 561","7 162","6 891",-0.96,"43.84°N","66.12°W","Nova Scotia"," "," "
896,"Yellowknife","16 055","17 863","18 959",1.5,"62.46°N","114.36°W","Northwest Territories"," "," "
897,"Yorkton","15 227","15 164","15 056",-0.18,"51.21°N","102.47°W","Saskatchewan"," "," "
