"no.","name","census 2001","census 2006","calculation 2010","annualgrowth","latitude","longitude","parent division","name variants","metropolitan area"
478,"Milverton","1 707","1 446","1 305",-2.53,"43.57°N","80.93°W","Ontario"," "," "
479,"Minnedosa","2 426","2 474","2 505",0.31,"50.25°N","99.83°W","Manitoba"," "," "
480,"Mississauga Beach","4 082","3 862","3 689",-1.14,"43.25°N","79.08°W","Ontario"," ","Buffalo-Saint Catharines"
481,"Mistissini","1 814","1 645","1 520",-1.96,"48.90°N","72.20°W","Quebec","Mistassini"," "
482,"Mitchell","4 181","4 220","4 239",0.11,"43.47°N","81.18°W","Ontario"," "," "
483,"Moncton","90 431","97 065","102 163",1.29,"46.09°N","64.78°W","New Brunswick"," ","Moncton"
484,"Montague","1 950","1 812","1 705",-1.51,"46.17°N","62.65°W","Prince Edward Island"," "," "
485,"Mont-Joli","6 025","5 984","5 935",-0.21,"48.58°N","68.18°W","Quebec"," "," "
486,"Mont-Laurier","6 055","6 068","6 060",-0.03,"","","Quebec"," "," "
487,"Montmagny","9 872","9 347","8 931",-1.13,"46.97°N","70.55°W","Quebec"," "," "
488,"Montreal","3 161 967","3 316 615","3 430 917",0.85,"45.52°N","73.57°W","Quebec","Montréal","Montréal"
489,"Moose Jaw","32 631","32 526","32 243",-0.22,"50.39°N","105.54°W","Saskatchewan"," "," "
490,"Moosomin","2 361","2 257","2 171",-0.97,"50.15°N","101.67°W","Saskatchewan"," "," "
491,"Moosonee",539,"1 214","1 712",8.97,"","","Ontario"," "," "
492,"Morden","6 159","6 571","6 890",1.19,"49.18°N","98.10°W","Manitoba"," "," "
493,"Morinville","7 726","8 007","8 219",0.66,"53.80°N","113.65°W","Alberta"," "," "
494,"Morris","1 673","1 643","1 615",-0.43,"49.35°N","97.37°W","Manitoba"," "," "
495,"Morrisburg","2 837","2 725","2 634",-0.85,"44.90°N","75.18°W","Ontario"," "," "
496,"Mount Albert","2 615","2 539","2 475",-0.64,"44.13°N","79.32°W","Ontario"," "," "
497,"Mount Brydges","2 221","2 340","2 431",0.96,"42.37°N","81.48°W","Ontario"," "," "
498,"Mount Forest","4 584","4 490","4 406",-0.47,"43.97°N","80.73°W","Ontario"," "," "
499,"Munster","1 390","1 321","1 266",-1.06,"","","Ontario"," "," "
500,"Musgrave Harbour","1 233","1 018",888,-3.36,"48.42°N","53.88°W","Newfoundland and Labrador"," "," "
501,"Nakusp","1 698","1 524","1 427",-1.63,"50.23°N","117.80°W","British Columbia"," "," "
502,"Nanaimo","77 842","83 751","89 158",1.58,"49.21°N","123.97°W","British Columbia"," ","Nanaimo"
503,"Nanton","1 841","2 055","2 235",2.12,"50.35°N","113.77°W","Alberta"," "," "
504,"Napanee","7 341","7 060","6 830",-0.82,"44.25°N","76.95°W","Ontario"," "," "
505,"Napierville","3 164","3 496","3 768",1.89,"45.18°N","73.40°W","Quebec"," "," "
506,"Neepawa","3 026","2 980","2 936",-0.37,"50.23°N","99.45°W","Manitoba"," "," "
507,"Nelson","9 735","9 529","9 409",-0.32,"49.49°N","117.30°W","British Columbia"," "," "
508,"New Glasgow","21 102","20 876","20 631",-0.29,"45.59°N","62.65°W","Nova Scotia"," "," "
509,"New Hamburg","7 003","8 424","9 703",3.6,"43.48°N","80.72°W","Ontario"," "," "
510,"New Richmond","2 177","2 018","1 897",-1.53,"48.17°N","65.83°W","Quebec"," "," "
511,"New Waterford","10 185","9 661","9 435",-0.59,"46.26°N","60.11°W","Nova Scotia"," ","Cape Breton"
512,"Nicolet","5 172","5 180","5 171",-0.04,"46.22°N","72.60°W","Quebec"," "," "
513,"Nipawin","4 275","4 153","4 045",-0.66,"53.37°N","104.02°W","Saskatchewan"," "," "
514,"Niverville","1 921","2 464","2 983",4.89,"49.62°N","97.06°W","Manitoba"," "," "
515,"Nobleton","3 472","3 513","3 536",0.16,"43.90°N","79.66°W","Ontario"," ","Toronto"
516,"Normandin","2 053","2 098","2 128",0.36,"48.83°N","72.52°W","Quebec"," "," "
517,"North Battleford","17 127","16 491","16 407",-0.13,"52.79°N","108.29°W","Saskatchewan"," "," "
518,"North Bay","51 900","53 100","53 281",0.09,"46.30°N","79.45°W","Ontario"," ","North Bay"
519,"Norwich","2 510","2 478","2 447",-0.31,"42.98°N","80.60°W","Ontario"," "," "
520,"Norwood","1 336","1 309","1 285",-0.46,"44.38°N","77.98°W","Ontario"," "," "
521,"Notre-Dame-du-Bon-Conseil","1 453","1 426","1 401",-0.44,"46.00°N","72.34°W","Quebec"," "," "
522,"Notre-Dame-du-Lac","1 520","1 394","1 299",-1.75,"47.60°N","68.80°W","Quebec"," "," "
523,"Notre-Dame-du-Mont-Carmel","1 070","1 075","1 076",0.02,"","","Quebec"," "," "
524,"Oakbank","1 984","2 075","2 142",0.8,"","","Manitoba"," "," "
525,"Oka-Kanesatake","1 185","1 122","1 072",-1.13,"45.47°N","74.08°W","Quebec","Oka","Montréal"
526,"Okotoks","11 689","17 145","22 773",7.35,"50.72°N","113.96°W","Alberta"," "," "
527,"Olds","6 607","7 248","7 777",1.78,"51.78°N","114.10°W","Alberta"," "," "
528,"Oliver","4 626","4 729","4 798",0.36,"49.18°N","119.55°W","British Columbia"," "," "
529,"Omemee","1 319","1 323","1 323",0,"44.30°N","78.55°W","Ontario"," ","Kawartha Lakes"
530,"Onaping-Levack","2 169","2 041","1 941",-1.25,"46.63°N","81.38°W","Ontario","Levack, Onaping - Levack"," "
531,"One Hundred Mile House","1 672","1 683","1 687",0.06,"51.65°N","121.28°W","British Columbia"," "," "
532,"Orangeville","27 284","29 110","31 267",1.8,"43.92°N","80.10°W","Ontario"," "," "
533,"Orillia","29 121","30 259","31 097",0.69,"44.60°N","79.42°W","Ontario"," "," "
534,"Ormstown","1 537","1 542","1 541",-0.02,"45.13°N","74.00°W","Quebec"," "," "
535,"Oromocto","9 114","8 706","8 407",-0.87,"45.85°N","66.47°W","New Brunswick"," "," "
536,"Orono","1 666","1 616","1 574",-0.66,"43.99°N","78.62°W","Ontario"," "," "
537,"Osgoode","2 571","2 552","2 530",-0.22,"45.15°N","75.62°W","Ontario"," "," "
538,"Oshawa","242 831","269 734","291 959",2,"43.89°N","78.86°W","Ontario"," ","Toronto"
539,"Osoyoos","4 295","4 752","5 129",1.93,"49.03°N","119.47°W","British Columbia"," "," "
540,"Ottawa","834 799","860 928","879 364",0.53,"45.42°N","75.71°W","Ontario","Ottawa-Hull, Ottawa - Gatineau","Ottawa"
541,"Outlook","2 129","1 938","1 794",-1.91,"51.50°N","107.05°W","Saskatchewan"," "," "
542,"Owen Sound","22 324","22 649","22 856",0.23,"44.57°N","80.94°W","Ontario"," "," "
543,"Oxbow","1 132","1 139","1 140",0.02,"49.22°N","102.17°W","Saskatchewan"," "," "
544,"Oxford","1 332","1 178","1 067",-2.44,"45.73°N","63.87°W","Nova Scotia"," "," "
545,"Paisley","1 033","1 037","1 037",0,"44.30°N","81.28°W","Ontario"," "," "
